municipality,sk_0,hg,dsk,sk_maks
Indre Fosen,4.5,150,1.0,1000000.0
Klæbu,4.0,250,1.0,7.5
Leka,2.5,150,1.0,1000000.0
Levanger,4.0,150,1.0,1000000.0
Lierne,5.5,550,1.0,7.5
Malvik,3.5,150,1.0,1000000.0
Orkland,4.5,250,1.0,7.5
Meråker,4.5,250,1.0,7.5
Midtre Gauldal,4.5,150,1.0,7.5
Namsos,4.0,150,1.0,1000000.0
Namsskogan,7.5,350,1.0,9.0
Oppdal,4.5,650,1.0,7.5
Selbu,3.5,250,1.0,7.5
Trondheim,3.5,150,1.0,1000000.0
Tydal,4.0,150,1.0,7.5
Verdal,3.5,150,1.0,1000000.0
Ørland,3.0,150,1.0,1000000.0
Stjørdal,3.5,150,1.0,1000000.0
Osen,3,150,1.0,1000000.0
Skaun,4.0,150,1.0,1000000.0
Melhus,4.0,150,1.0,1000000.0
Nærøysund,2.5,150,1.0,1000000.0
Steinkjer,3.5,150,1.0,1000000.0
Åfjord,3.0,450,1.0,1000000.0
Rennebu,4.5,550,1.0,7.5
Overhalla,5.5,150,1.0,7.5
Røros,4.5,750,1.0,7.5
Røyrvik,8.0,550,1.0,9
Snåsa,4,150,1.0,7.5
Alstahaug,3.5,150,1.0,1000000.0
Andøy,4.5,150,1.0,1000000.0
Ballangen,4.5,150,1.0,1000000.0
Beiarn,4.5,150,1.0,9.0
Bindal,4.0,150,1.0,1000000.0
Bodø,4.5,150,1.0,1000000.0
Brønnøy,4.0,150,1.0,1000000.0
Bø Vesterålen,4.5,150,1.0,1000000.0
Dønna,3.0,150,1.0,1000000.0
Evenes,4.5,150,1.0,1000000.0
Fauske,4.5,150,1.0,1000000.0
Flakstad,4.0,150,1.0,1000000.0
Gildeskål,4.0,150,1.0,9.0
Grane,7.5,150,1.0,9.0
Hadsel,4.0,150,1.0,1000000.0
Hamarøy,4.0,150,1.0,1000000.0
Hattfjelldal,7.5,150,1.0,9.0
Hemnes,5.0,150,1.0,9.0
Herøy Nordland,2.5,150,1.0,1000000.0
Leirfjord,4.0,150,1.0,1000000.0
Lurøy,4.0,150,1.0,9.0
Lødingen,4.5,150,1.0,1000000.0
Meløy,4.0,150,1.0,9.0
Moskenes,4.0,150,1.0,1000000.0
Narvik,4.5,150,1.0,1000000.0
Nesna,4.0,150,1.0,1000000.0
Rana,5.0,150,1.0,9.0
Rødøy,4.0,150,1.0,9.0
Saltdal,4.5,150,1.0,1000000.0
Sortland,5.0,150,1.0,1000000.0
Steigen,4.0,150,1.0,1000000.0
Sømna,4.0,150,1.0,1000000.0
Sørfold,4.5,150,1.0,1000000.0
Tjeldsund,4.5,150,1.0,1000000.0
Tysfjord,4.5,150,1.0,1000000.0
